protein,pdbid,state,trajectory_url,topology_url,model_url
5-hydroxytryptamine receptor 1B,4IAQ.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10824_trj_85.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10827_dyn_85.psf,
Beta-1 adrenergic receptor,2Y00.B,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10209_trj_14.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10212_dyn_14.psf,
Free fatty acid receptor 2,9CM7,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn2657/25329_trj_2306.dcd,https://gpcrmd.org/dynadb/files/Dynamics/dyn2657/25326_dyn_2306.psf,
D(3) dopamine receptor,3PBL.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/11007_trj_106.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11011_dyn_106.psf,
Sphingosine 1-phosphate receptor 1,3V2Y.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10627_trj_63.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10632_dyn_63.psf,
Muscarinic acetylcholine receptor M3,4U15.B,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10894_trj_93.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10900_dyn_93.psf,
C-C chemokine receptor type 5,4MBS.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/11150_trj_119.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11154_dyn_119.psf,
Beta-1 adrenergic receptor,2Y02.B,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10255_trj_19.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10254_dyn_19.psf,
Guanine nucleotide-binding protein G(i) subunit alpha-1,6OS9,unknown,https://gpcrmd.org/dynadb/files/Dynamics//dyn1433/19209_trj_1252.xtc,https://gpcrmd.org/dynadb/files/Dynamics//dyn1433/19207_dyn_1252.top,
Sphingosine 1-phosphate receptor 1,3V2Y.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/11221_trj_127.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11225_dyn_127.psf,
unknown,9CM7,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn2678/25479_trj_2327.dcd,https://gpcrmd.org/dynadb/files/Dynamics/dyn2678/25468_dyn_2327.psf,
5-hydroxytryptamine receptor 1B,4IAR.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10869_trj_90.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10872_dyn_90.psf,
